 Destination Port	 Flow Duration	 Total Fwd Packets	 Total Backward Packets	Total Length of Fwd Packets	 Total Length of Bwd Packets	 Fwd Packet Length Max	 Fwd Packet Length Min	 Fwd Packet Length Mean	 Fwd Packet Length Std	Bwd Packet Length Max	 Bwd Packet Length Min	 Bwd Packet Length Mean	 Bwd Packet Length Std	Flow Bytes/s	 Flow Packets/s	 Flow IAT Mean	 Flow IAT Std	 Flow IAT Max	 Flow IAT Min	Fwd IAT Total	 Fwd IAT Mean	 Fwd IAT Std	 Fwd IAT Max	 Fwd IAT Min	Bwd IAT Total	 Bwd IAT Mean	 Bwd IAT Std	 Bwd IAT Max	 Bwd IAT Min	Fwd PSH Flags	 Bwd PSH Flags	 Fwd URG Flags	 Bwd URG Flags	 Fwd Header Length	 Bwd Header Length	Fwd Packets/s	 Bwd Packets/s	 Min Packet Length	 Max Packet Length	 Packet Length Mean	 Packet Length Std	 Packet Length Variance	FIN Flag Count	 SYN Flag Count	 RST Flag Count	 PSH Flag Count	 ACK Flag Count	 URG Flag Count	 CWE Flag Count	 ECE Flag Count	 Down/Up Ratio	 Average Packet Size	 Avg Fwd Segment Size	 Avg Bwd Segment Size	 Fwd Header Length	Fwd Avg Bytes/Bulk	 Fwd Avg Packets/Bulk	 Fwd Avg Bulk Rate	 Bwd Avg Bytes/Bulk	 Bwd Avg Packets/Bulk	Bwd Avg Bulk Rate	Subflow Fwd Packets	 Subflow Fwd Bytes	 Subflow Bwd Packets	 Subflow Bwd Bytes	Init_Win_bytes_forward	 Init_Win_bytes_backward	 act_data_pkt_fwd	 min_seg_size_forward	Active Mean	 Active Std	 Active Max	 Active Min	Idle Mean	 Idle Std	 Idle Max	 Idle Min	 Label
53	83757	2	2	64	196	32	32	32	0	98	98	98	0	3104.218155	47.75720238	27919	48314.69697	83708	1	1	1	0	1	1	48	48	0	48	48	0	0	0	0	40	40	23.87860119	23.87860119	32	98	58.4	36.1496888	1306.8	0	0	0	0	0	0	0	0	1	73	32	98	40	0	0	0	0	0	0	2	64	2	196	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
57204	122089	2	2	6	0	6	0	3	4.242640687	0	0	0	0	49.14447657	32.76298438	40696.33333	37199.15194	73001	27	49088	49088	0	49088	49088	122062	122062	0	122062	122062	0	0	0	0	52	64	16.38149219	16.38149219	0	6	1.2	2.683281573	7.2	0	0	0	0	1	1	0	0	1	1.5	3	0	52	0	0	0	0	0	0	2	6	2	0	175	307	1	20	0	0	0	0	0	0	0	0	BENIGN
53233	50	1	1	6	6	6	6	6	0	6	6	6	0	240000	40000	50	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	20000	20000	6	6	6	0	0	0	0	0	0	1	1	0	0	1	9	6	6	20	0	0	0	0	0	0	1	6	1	6	288	253	0	20	0	0	0	0	0	0	0	0	BENIGN
123	16720	1	1	48	48	48	48	48	0	48	48	48	0	5741.626794	119.6172249	16720	0	16720	16720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	59.80861244	59.80861244	48	48	48	0	0	0	0	0	0	0	0	0	0	1	72	48	48	20	0	0	0	0	0	0	1	48	1	48	-1	-1	0	20	0	0	0	0	0	0	0	0	BENIGN
465	2496978	15	21	1303	1033	378	0	86.86666667	93.89497679	261	0	49.19047619	64.99739922	935.5308697	14.41742779	71342.22857	250924.2165	1498356	3	2447019	174787.0714	399846.4519	1548282	1359	2447532	122376.6	325898.4526	1498356	3	0	0	0	0	488	680	6.007261578	8.410166209	0	378	63.13513514	78.95820349	6234.397898	0	0	0	1	0	0	0	0	1	64.88888889	86.86666667	49.19047619	488	0	0	0	0	0	0	15	1303	21	1033	29200	175	12	32	0	0	0	0	0	0	0	0	BENIGN
53	287	2	2	64	196	32	32	32	0	98	98	98	0	905923.3449	13937.28223	95.66666667	163.9674764	285	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	40	40	6968.641115	6968.641115	32	98	58.4	36.1496888	1306.8	0	0	0	0	0	0	0	0	1	73	32	98	40	0	0	0	0	0	0	2	64	2	196	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
53	228	2	2	64	204	32	32	32	0	102	102	102	0	1175438.596	17543.85965	76	125.574679	221	3	4	4	0	4	4	3	3	0	3	3	0	0	0	0	40	40	8771.929825	8771.929825	32	102	60	38.34057903	1470	0	0	0	0	0	0	0	0	1	75	32	102	40	0	0	0	0	0	0	2	64	2	204	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
465	4	2	0	37	0	37	0	18.5	26.1629509	0	0	0	0	9250000	500000	4	0	4	4	4	4	0	4	4	0	0	0	0	0	1	0	0	0	64	0	500000	0	0	37	24.66666667	21.36195996	456.3333333	0	1	0	0	1	0	0	0	0	37	18.5	0	64	0	0	0	0	0	0	2	37	0	0	245	-1	0	32	0	0	0	0	0	0	0	0	BENIGN
123	123	2	2	96	96	48	48	48	0	48	48	48	0	1560975.61	32520.3252	41	64.08587988	115	4	4	4	0	4	4	4	4	0	4	4	0	0	0	0	40	40	16260.1626	16260.1626	48	48	48	0	0	0	0	0	0	0	0	0	0	1	60	48	48	40	0	0	0	0	0	0	2	96	2	96	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
389	111779729	32	16	6448	5056	403	0	201.5	204.7242047	316	316	316	0	102.9166925	0.429415963	2378292.106	5749908.344	16400000	3	112000000	3605797.71	6791210.669	16400000	3	112000000	7451961.067	8253863.087	16400000	3	1	0	0	0	1024	512	0.286277309	0.143138654	0	403	243	174.7169139	30526	0	1	0	0	1	0	0	0	0	248.0625	201.5	316	1024	0	0	0	0	0	0	32	6448	16	5056	955	2079	15	32	325.2857143	1.380131119	327	324	16000000	547149.062	16400000	15400000	BENIGN
